Name,Address,Description,Special_Content,Lock_type,Photo
Academy Walk,"96 Nicholson Street, Fitzroy VIC 3065, Australia","A nice walk around Fitzroy on Nicholson St, Gertrude St, Brunswick St and Johnston St.",Melbourne was the capital city of Australia for 26 years between 1901 and 1927 before the capital shifted to Canberra,Nature Walk,https://media-cdn.tripadvisor.com/media/photo-s/0a/00/78/53/fitzroy-aboriginal-heritage.jpg
Kororoit Creek Trail,"Selwyn Park, Albion VIC 3020","Explore nature in the suburbs along the Kororoit Creek trail between Selwyn Park, Albion and Buckingham Reserve, Sunshine West on this 10km return walk. ","Melbourne has the largest tram system outside of Europe, and the fourth largest in the world overall",Nature Walk,https://upload.wikimedia.org/wikipedia/commons/1/18/Kororoit_Creek.jpg
Pipemakers Park,"2 Van Ness Avenue, Maribyrnong VIC 3032, Australia","An unexpected gem in the city, this easy walk takes you along the Maribyrnong river, around a small lake and new wetlands, finishing among the wonderful gardens of Pipemakers Park.",Melbourne was originally named Batmania,Nature Walk,https://tothotornot.com/wp-content/uploads/2021/02/Pipemakers-Park-playground-wide-angle.jpg
Zevenboom Lane,"274 Little Lonsdale Street, Melbourne, VIC",This precinct near 'Little Lon' is a great place to start our street art tour proper. Consider this alley cat your guide?,The first ever set of traffic lights in Australia was installed in Melbourne,Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_492.jpg
Oh Donald!,"115 Hardware Street, Melbourne, VIC","Sign of the times ... You may need a drink after seeing Trump sans clothes, so luckily there are some great bars along here as well as art works!",Until the year 1966 pubs in Melbourne closed at 6:00pm,Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_493.jpg
Detective stories,"15 Niagara Lane, Melbourne, VIC",There's a series of images here that tell a story about the man in the suit. What's this guy up to?,Melbourne has the highest number of restaurants and cafes per number of people than any other city in the world!,Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_494.jpg
Robot man on Warburton,"15 Warburton Lane, Melbourne, VIC",Looks like the robot man has made friends with the weird creatures to his left. It seems robots need friends too.,"According to the Crimes Act of 1958, if you meet up with a Pirate in Melbourne, you must not trade with them…",Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_495.jpg
Rankins Lane,"361, Little Bourke Street, Melbourne, VIC",Is that Toucan holding a spray can? Wander further along Rankins for more great finds plus an amazing green wall.,Melbourne is home to the highest Italian and Greek populations in the world outside their own countries,Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_496.jpg
Smell the art ...,"307, Bourke Street, Melbourne, VIC",You may interrupt some live spray painting on Union Lane if you're lucky! Otherwise come and see what you can find - these walls are an ever-changing canvas.,"In 1856, Melbourne workers successfully campaigned for the world's first 8-hour work day. All the rest of us are still thankful today!",Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_497.jpg
Mermans?,"17, Carson Place, Melbourne, VIC","If you have time, take a little detour down Carson Place; Ttere some moody pieces along here.","As of the year 2013, around 38% of Melbourne's residents were born overseas",Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_498.jpg
